Organization ID,Organization Name,Completed Reg Req,Reg Form,Signatory,T&C,Organization Type,Callink URL,Callink Designation,Primary Campus Advisor
91224,"""RSO """"B""""	Active Tier 2 (40 hours)""",No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/testb,LEAD Center Category: Service RSO,Millicent Morris-Chaney at millicen@berkeley.edu
46618,"""RSO """"C"" Active",No,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/rsoc,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
236738,#BUILTBYGIRLS @ Berkeley,No,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/BUILTBYGIRLSatBerkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
145543,(RE)generation: Indigenous Social Welfare Caucus  ,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/REgeneration,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
94214,100 Strong: Female Mentorship and Leadership Development,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/100strong,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
136978,180 Degrees Consulting at Berkeley ,Yes,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/180dcberkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91740,1947 Partition Archive at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/1947partitionarchive,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91290,1G at Haas (First-Generation and/or Low-Income Club) ,No,Approved,2,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/1GatHaas,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
94219,2024-2025 RSO Training Demonstration Group  ,No,Inprogress,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/2022CallinkDummyGroupforTesting,LEAD Center,"None: For questions, contact OASIS: oasis.center@berkeley.edu, 312 Eshleman"
46634,2048 Project for Human Rights,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/2048project,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
144501,24 Hour Theatre,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/24ht,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
302227,30 Minutes,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ArtatBerkeley,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
222008,3D Modeling and Animation at Berkeley ,No,Approved,1,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3D-Modeling-and-Animation-at-Berkeley,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
92133,3DMC,No,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3DMC,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
326213,5&2 Community Service,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/5and2,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
92150,7 Cups at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/7cupsberkeley,LEAD Center Category: Health & Wellness RSO (moving to various),Millicent Morris-Chaney at millicen@berkeley.edu
91982,A Better Way at Berkeley,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ABetterWayBerkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91599,A Brighter Tomorrow,No,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/abrightertomorrow,LEAD Center Category: Health & Wellness RSO (moving to various),Millicent Morris-Chaney at millicen@berkeley.edu
351404,A.N.T.I. : Artistic Nerds 4 Theatre Inclusivity,No,Inprogress,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/artisticnerds4theatreinclusivity,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
